SiteName,SiteEngName,DamName,County,Township,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,SampleLayer,SampleDepth,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
永和山水庫一,Yung-Ho-Shan Reservoir I,永和山水庫,苗栗縣,三灣鄉,120.9235040,24.6599080,242257.38,2728111.39,2017-11-07,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,42.17,
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,15.3,μg/L
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,總磷,Total-Phosphate,TP,0.041,mg/L
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,120.3,%
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,氨氮,NH3-N,NH3-N,0.11,mg/L
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,15.3,mg/L
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,9.6,mg/L
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,懸浮固體,Suspended Solid,SS,3.1,mg/L
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,氣溫,Temperature,TMP,29.4,℃
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,導電度,Conductivity,EC,294,μmho/cm25℃
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,濁度,Turbidity,TB,4.2,NTU
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,酸鹼值,pH,pH,8.4,
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,透明度,Transparency,SD,2.0,m
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,水溫,Water Temperature,WT,26.7,℃
大埔水庫,Ta-Pu Reservoir,大埔水庫,新竹縣,峨眉鄉,120.9837520,24.6759130,248355.66,2729882.00,2017-11-07,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,55.02,
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,5.5,μg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,總磷,Total-Phosphate,TP,0.031,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,84.4,%
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,氨氮,NH3-N,NH3-N,0.52,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,17.8,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,7.4,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,懸浮固體,Suspended Solid,SS,3.0,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,氣溫,Temperature,TMP,23.9,℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,導電度,Conductivity,EC,486,μmho/cm25℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,濁度,Turbidity,TB,3.0,NTU
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,酸鹼值,pH,pH,8.3,
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,透明度,Transparency,SD,1.1,m
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,水溫,Water Temperature,WT,22.4,℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2017-10-24,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,53.21,
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,24.0,μg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,總磷,Total-Phosphate,TP,0.073,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,108.0,%
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,氨氮,NH3-N,NH3-N,<0.01,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,38.9,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,9.2,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,懸浮固體,Suspended Solid,SS,16.8,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,氣溫,Temperature,TMP,27.6,℃
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,導電度,Conductivity,EC,1830,μmho/cm25℃
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,濁度,Turbidity,TB,10,NTU
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,酸鹼值,pH,pH,8.6,
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,透明度,Transparency,SD,0.5,m
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,水溫,Water Temperature,WT,23.4,℃
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,195079.78,2703248.45,2017-10-24,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,65.93,
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,12.7,μg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,總磷,Total-Phosphate,TP,0.015,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,105.4,%
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,氨氮,NH3-N,NH3-N,0.03,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,<4.0,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,8.7,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,懸浮固體,Suspended Solid,SS,2.4,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,氣溫,Temperature,TMP,23.5,℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,導電度,Conductivity,EC,287,μmho/cm25℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,濁度,Turbidity,TB,1.9,NTU
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,酸鹼值,pH,pH,8.0,
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,透明度,Transparency,SD,1.6,m
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,水溫,Water Temperature,WT,24.4,℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734709.69,2017-11-03,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,50.65,
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,3.1,μg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,總磷,Total-Phosphate,TP,0.040,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,95.8,%
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,氨氮,NH3-N,NH3-N,<0.01,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,18.8,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,8.9,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,懸浮固體,Suspended Solid,SS,10.5,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,氣溫,Temperature,TMP,20.0,℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,導電度,Conductivity,EC,733,μmho/cm25℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,濁度,Turbidity,TB,6.0,NTU
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,酸鹼值,pH,pH,8.6,
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,透明度,Transparency,SD,0.7,m
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,水溫,Water Temperature,WT,19.0,℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,344442.99,2874358.06,2017-11-06,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,54.73,
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,4.5,μg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,總磷,Total-Phosphate,TP,0.022,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,89.5,%
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,氨氮,NH3-N,NH3-N,0.16,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,8.6,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,8.2,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,懸浮固體,Suspended Solid,SS,4.1,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,氣溫,Temperature,TMP,22.4,℃
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,導電度,Conductivity,EC,731,μmho/cm25℃
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,濁度,Turbidity,TB,2.2,NTU
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,酸鹼值,pH,pH,7.9,
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,透明度,Transparency,SD,1.6,m
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,水溫,Water Temperature,WT,19.8,℃
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343266.49,2874673.69,2017-11-06,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,49.10,
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,6.6,μg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,總磷,Total-Phosphate,TP,0.033,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,68.8,%
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,氨氮,NH3-N,NH3-N,0.43,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,15.0,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,6.5,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,懸浮固體,Suspended Solid,SS,1.8,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,氣溫,Temperature,TMP,19.5,℃
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,導電度,Conductivity,EC,745,μmho/cm25℃
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,濁度,Turbidity,TB,4.6,NTU
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,酸鹼值,pH,pH,7.9,
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,透明度,Transparency,SD,1.3,m
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,水溫,Water Temperature,WT,19.1,℃
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,199351.77,2917587.75,2017-11-14,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,53.30,
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,3.4,μg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,總磷,Total-Phosphate,TP,0.023,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,102.5,%
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,氨氮,NH3-N,NH3-N,0.49,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,14.0,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,9.4,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,懸浮固體,Suspended Solid,SS,4.8,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,氣溫,Temperature,TMP,19.9,℃
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,導電度,Conductivity,EC,641,μmho/cm25℃
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,濁度,Turbidity,TB,2.6,NTU
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,酸鹼值,pH,pH,8.1,
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,透明度,Transparency,SD,1.5,m
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,水溫,Water Temperature,WT,19.8,℃
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,347332.23,2901485.86,2017-11-07,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,48.71,
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,13.7,μg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,總磷,Total-Phosphate,TP,0.053,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,79.7,%
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,氨氮,NH3-N,NH3-N,0.01,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,15.4,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,7.2,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,懸浮固體,Suspended Solid,SS,5.8,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,氣溫,Temperature,TMP,20.8,℃
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,導電度,Conductivity,EC,640,μmho/cm25℃
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,濁度,Turbidity,TB,3.6,NTU
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,酸鹼值,pH,pH,7.7,
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,透明度,Transparency,SD,1.2,m
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,水溫,Water Temperature,WT,20.2,℃
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,341457.32,2893299.92,2017-11-07,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,58.35,
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,341530.55,2892883.74,2017-11-07,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,7.3,μg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,341530.55,2892883.74,2017-11-07,表水,0.5m,總磷,Total-Phosphate,TP,0.033,mg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,341530.55,2892883.74,2017-11-07,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,82.8,%
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,341530.55,2892883.74,2017-11-07,表水,0.5m,氨氮,NH3-N,NH3-N,0.40,mg/L
